iter	Passed	Remaining
0	0	90
1	1	81
2	2	78
3	3	75
4	3	74
5	5	81
6	5	78
7	6	78
8	7	76
9	8	74
10	9	73
11	9	72
12	10	71
13	11	70
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	58
23	18	57
24	18	55
25	19	54
26	19	53
27	20	52
28	20	50
29	21	50
30	21	48
31	22	47
32	23	46
33	23	46
34	24	44
35	24	43
36	25	42
37	25	41
38	26	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	31
49	30	30
50	31	29
51	31	29
52	31	28
53	32	27
54	32	26
55	33	25
56	33	25
57	33	24
58	34	23
59	34	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	36	18
66	37	18
67	37	17
68	37	16
69	37	16
70	38	15
71	38	14
72	38	14
73	39	13
74	39	13
75	39	12
76	39	11
77	40	11
78	40	10
79	40	10
80	41	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	42	6
87	43	5
88	43	5
89	43	4
90	43	4
91	44	3
92	44	3
93	44	2
94	44	2
95	45	1
96	45	1
97	45	0
98	45	0
99	46	0
